launch_power_dbm,n_spans,channel,band,wavelength_nm,analytical_gsnr_db,recursive_gsnr_db,delta_recursive_minus_analytical_db
-2.0,1,162,S,1526.1454862512223,29.69507179295374,29.69507179295374,0.0
-2.0,1,163,S,1525.7571296907993,29.683526710842404,29.683526710842404,0.0
-2.0,1,164,S,1525.3689707294252,29.671481363894806,29.67148136389481,3.552713678800501e-15
-2.0,1,165,S,1524.9810092163293,29.658915206540946,29.658915206540946,0.0
-2.0,1,166,S,1524.5932450008922,29.645806973768995,29.645806973768995,0.0
-2.0,1,167,S,1524.2056779326492,29.632134678257028,29.632134678257028,0.0
-2.0,1,168,S,1523.818307861288,29.61787560936798,29.617875609367985,3.552713678800501e-15
-2.0,1,169,S,1523.4311346366494,29.603006334229253,29.603006334229253,0.0
-2.0,1,170,S,1523.044158108726,29.58750270110842,29.58750270110842,0.0
-2.0,1,171,S,1522.6573781276634,29.571339845291757,29.571339845291757,0.0
-2.0,1,172,S,1522.2707945437596,29.554492197669386,29.554492197669386,0.0
-2.0,1,173,S,1521.8844072074637,29.536933496229373,29.536933496229373,0.0
-2.0,1,174,S,1521.4982159693777,29.51863680066193,29.51863680066193,0.0
-2.0,1,175,S,1521.1122206802543,29.499574510272943,29.499574510272943,0.0
-2.0,1,176,S,1520.726421190998,29.479718385403753,29.479718385403753,0.0
-2.0,1,177,S,1520.3408173526648,29.459039572550495,29.459039572550495,0.0
-2.0,1,178,S,1519.9554090164613,29.437508633370967,29.437508633370967,0.0
-2.0,1,179,S,1519.5701960337447,29.415095577760347,29.415095577760347,0.0
-2.0,1,180,S,1519.1851782560236,29.391769901168225,29.391769901168225,0.0
-2.0,1,181,S,1518.8003555349567,29.367500626318055,29.367500626318055,0.0
-2.0,1,182,S,1518.4157277223526,29.34225634947702,29.34225634947702,0.0
-2.0,1,183,S,1518.0312946701704,29.31600529140795,29.31600529140795,0.0
-2.0,1,184,S,1517.6470562305192,29.288715353115936,29.288715353115936,0.0
-2.0,1,185,S,1517.2630122556577,29.260354176480803,29.260354176480803,0.0
-2.0,1,186,S,1516.8791625979936,29.230889209841365,29.230889209841365,0.0
-2.0,1,187,S,1516.4955071100846,29.200287778569898,29.200287778569898,0.0
-2.0,1,188,S,1516.1120456446372,29.16851716064386,29.16851716064386,0.0
-2.0,1,189,S,1515.7287780545066,29.135544667188526,29.135544667188526,0.0
-2.0,1,190,S,1515.3457041926977,29.101337727926683,29.101337727926683,0.0
-2.0,1,191,S,1514.9628239123624,29.065863981432763,29.065863981432763,0.0
-2.0,1,192,S,1514.5801370668028,29.029091370046523,29.029091370046523,0.0
-2.0,1,193,S,1514.1976435094678,28.99098823925776,28.99098823925776,0.0
-2.0,1,194,S,1513.8153430939549,28.9515234413285,28.9515234413285,0.0
-2.0,1,195,S,1513.433235674009,28.910666442872976,28.910666442872976,0.0
-2.0,1,196,S,1513.0513211035234,28.86838743606986,28.86838743606986,0.0
-2.0,1,197,S,1512.6695992365378,28.82465745313569,28.82465745313569,0.0
-2.0,1,198,S,1512.2880699272403,28.779448483645762,28.779448483645762,0.0
-2.0,1,199,S,1511.9067330299654,28.73273359424774,28.73273359424774,0.0
-2.0,1,200,S,1511.525588399194,28.684487050277696,28.684487050277696,0.0
-2.0,1,201,S,1511.144635889555,28.634684438758413,28.634684438758413,0.0
-2.0,1,202,S,1510.7638753558228,28.58330279223656,28.58330279223656,0.0
-2.0,1,203,S,1510.3833066529185,28.530320712902828,28.530320712902828,0.0
-2.0,1,204,S,1510.002929635909,28.4757184964373,28.4757184964373,0.0
-2.0,1,205,S,1509.6227441600076,28.419478255034534,28.419478255034534,0.0
-2.0,1,206,S,1509.2427500805736,28.361584039092598,28.361584039092598,0.0
-2.0,1,207,S,1508.862947253111,28.302021957099235,28.302021957099235,0.0
-2.0,1,208,S,1508.48333553327,28.240780293322814,28.240780293322814,0.0
-2.0,1,209,S,1508.1039147768456,28.177849623018282,28.177849623018282,0.0
-2.0,1,210,S,1507.7246848397783,28.113222924998116,28.113222924998116,0.0
-2.0,1,211,S,1507.345645578153,28.046895691600646,28.046895691600646,0.0
-2.0,1,212,S,1506.966796848199,27.978866036327297,27.978866036327297,0.0
-2.0,1,213,S,1506.5881385062917,27.909134799728754,27.909134799728754,0.0
-2.0,1,214,S,1506.2096704089483,27.837705654519805,27.837705654519805,0.0
-2.0,1,215,S,1505.8313924128324,27.764585211423313,27.764585211423313,0.0
-2.0,1,216,S,1505.4533043747508,27.689783127924876,27.689783127924876,0.0
-2.0,1,217,S,1505.0754061516532,27.613312223023613,27.613312223023613,0.0
-2.0,1,218,S,1504.6976976006342,27.535188602277575,27.535188602277575,0.0
-2.0,1,219,S,1504.3201785789313,27.455431799093674,27.455431799093674,0.0
